new_target,clean_translation
ẹnẹsuuno,loud cheer during singing or other occasions meaning are we sleeping see response ẹnẹ-suun-ọ
ẹnee-suun-o,we are not sleeping
ọmatie rẹn far rẹn,that child wants to crawl
faa ọkọ we dio ma gun oko,pull the boat backward to avoid running into the bush
falafala,thin
fan,to blow into fire
orun meeje owun a gba fan ọma,circumcision is done on the seventh day
falẹ,delay
falẹ,prolong
falẹ,drag on
famara,draw to one self
famara,bring closer
fanghan,twist
ojẹ fanran mi,i got choked with my food
ọmẹ we wo ka farabalẹ,this child you better behave
faarẹyin,astern
faarẹyin,at the back
fari,wrap
faraşi-ẹyin,lag behind
faragbẹ,withdraw
eyifawa bokọ sin,what a misfortune
mo ka fe kuri ọwurọ-ọwurọ ra to ale,i fasted all day
nikọ rẹ şẹ ẹ tiwo gba mi felefele?,why are you panting for breath
wo ka fẹ ọfọ ere ju,you like playing too much
fẹẹ,belch
guẹ ẹsete we do fẹn,wash the plates clean
fẹnẹ,scrutinize
fẹnẹ,examine
fẹẹrẹgẹnẹ,without blemish
fẹẹrẹ abitọn jusẹ,swiftly the new bride goes on errands
fẹọfọ,admire
ubu fẹẹ-rẹn,a game fẹnrẹrẹn is 
ifẹniyẹn tan fẹnẹfẹnẹ ni uşa,the tapioca is finished completely inside the pot
fẹnmi,swallow
fẹnrẹnrẹn,plain
fẹsẹn,select
fẹghẹ,light-weight
fẹghẹ-ara,smartness
fii,beat
fii,smack with cane
fialẹ,investigate
fifẹmo fẹ,i love you
fifẹn,colour white
fieghefieghe,unstable
fielefiele,panting see
finọ,complete
wo ma riọma gba wa di wo fintomi,when you see the chap coming you will admire him
firi,preserve
firi,to preserve by salt
firi,cure
flagrant,flagrant flavour
işanni rẹn ka run firifiri,the perfume has sweet smell
firi-mia,jiffy
firi-mia,twinkling
finrinfinrin,smallish
finrinfinrin,diminutive
finrinfinrin,meagre
mo fo omi da,i jumped over the water
ughogho di o ka fo ni omi,the gourd floats on water
omi fo ilọlimi,my house is flooded with water
fofo ikun kiriẹju mi mo biẹ,please blow out the dirt in my eye
fogho,light weight
forijẹ,own up
forijẹ,admit
forijẹ,agree
foto,photograph
fọ ọfọ arun rẹ,speak on
mo ka fọ inọ tan gbẹ,i confided in him
fọọ,split
ebirẹ n ghan dede ka fọọlẹ,all the women lined up
fọọn,squeeze
fọọnrọọn,empty
fọọnrọọn,colourless
fọntọn,mash
fọngbẹ,extract
snatch,snatch
fọrọgbẹ es şe ole,to snatch is not to steal
fọşalẹ,forewarn
frapan,frying pan
fuẹfuẹ,sly
fuludu,velvet cloth
imiyo mi fun rẹn,my maize plant has sprouted
ilọlimi fun  my house is leaking ,ilọlimi fun my house is leaking
fun-ara,instinct
fun-ibo,reveal
fun-ibo,disclose
fun-ibo,divulge
fun-nọ,open
eran tio fusi ni oko ee la,the popular or famous animal in the forest is not big
inoliren kajo fuunrun,the house was completely burnt
gagara,massacre
gagara,thorough searching
galagala,rough
galagala,disorganize
galagala,unco-ordinated
emaciate ,emaciate
o karu galato,he so emaciated
gamafon,gramophone
gangan,protrusion
ganganmati,howitzer
gara,to clear one throat
garara,straight forward
gedegede,never
gege,instant
gege,immediate
gelete,elevation
gere,decrease
gere,curtail
gere,minimize
geesimisi,christmas
gẹẹgẹnẹ,sludge particularly of banga soup
gẹẹrẹ,exact
gẹrẹrẹ,exact
firmly ,firmly
ẹsẹn ro ka soro gẹki ni alẹ,his legs were firmly on the ground
gẹlẹtu,swollen
cautious ,cautious
o ka şe urun ro dede gẹne- gẹne,he is cautious in all his doings
gradual ,gradual
kuoro gẹnẹn  dakun gẹnẹn,kneel and rise gradually
ude kọn biri omi gẹngẹn,the basin is full of water
giangian,brand new
gidi,grip
gidigidị,struggle
gidigbo,disoriented
gidijẹ,plenty
gidigba,stout
gidigba,tough
giri,syn of gere
girigiri,forceful
gin gbẹ,tell him her
ginmi,heat
ginmi,steam
ginmiginmi,heat
giogio,fresh
giogio,particularly in relation to memory
go,tall
gofinọ,governor
goo,clangour
ọkurọkan gooyin,one only
gologolo,loud and clear
utukpa ran gororo,the light was very bright
gosmete,goldsmith
ọşọfu ka şe gọfu,ọşọfu is elegant
gọlọ,majestic walk
e yi gọngọn mo fe,this particular one is what i need
gua,paddle
guajara,slender
brisk ,brisk
guaja-guaja a şe oku ẹru,the burial rites of a slave is done briskly
guarara,thin
me fẹ ekpikpomẹ  mo ka guaragbe,i with drew from the situation to avoid trouble
oşu işuşu burunkun o ka lẹghe gba şe guegue,evil deeds causes one to be frightened
guẹguẹ,eroding
guẹmu,yawn
guẹnrẹnguẹrẹn,particles
guẹnrẹnguẹrẹn,grain
guẹ,bath
guẹ,wash
guẹfẹn,cleanse
guẹfẹn,exonerate
guẹrẹẹnrẹẹn,particles
guọghọ,spacious
gugurugu,heap
gugurugu,massive
guiguọ,width
guişẹ,pray
guiyan,argue
gujẹ,dull
gujẹ,drenched
guo,destroy
guoghogho,depressed
guoko,labour
guowun,complain
guọ,pull
guọ,drag
guọfo,unnecessary extensive talk or discussion
guọgbẹ,shrinking
guọghọguọghọ,loose
guọghọguọghọ,slack
guọji,debilitate
guọlele,follow in masses
guọlọ,dig
guọmara,embrace
guọrọ,dehusk
aghan gun obite rẹn?,have they arrived
me-nemi guun,i can not climb
gungun,particular
ẹgbele ti ubo dọn ka şe guu,a sick bird would appear dull
ibaje,loss
ibaje,ruin
ibalọ,local maggie seasoning
ibangoro,bangle
ibara,porch
ibara,verander
ibarajẹ,corruption
ibelebu,an oval shaped paddle
ibede,short cut
ibẹdẹ-ọrukọ,initials of names
ibẹdere,flag
ibẹkẹ,angular stomatitis
immature,immature palm fruits
iratì uku ee kpa ì bẹn,if the immature palm fruit is not killed prematurely it will become full grown
ibẹlẹbẹlẹ,leaves mostly for wrapping food
ibirẹdi,bread
ibiẹdo,slave lineage
ibigila,trumpet
ibikadu,wickedness
ibiradi,narrow cannon
ibiribiri,fraud
ibişọli,pistol
ibo,secret
ibo,cover up
ibowunjẹ,blasphemy
ibọkpọ,mosquito net
ibọn,cudgel
ibu,sand
ibulara,pride
ibulara,arrogance
idada,arrow
idandan,exact
idale,across
idamegua,tithe
flagrant ,flagrant
ọma we da idaşe,he showed a flagrant disregard
josef nẹ ikotu idasẹ,joseph had coat of many colours
ide,crayfish
ide-imẹfun,crayfish
ide-şaghoro,lobster
ideghedeghe,suspension
ideni,shirk
ideni,to avoid doing work or duty
idẹn,maggot
idibi,seacrab or swimming crab
idibiẹ,crime
idinmisobo,urhobo quarters in okere
idisi,district commissioner
idoloki,flip over
idoloki,somersault
idọkita,doctor
idọlọ,money
ifawa,implication
ifere,mudskipper
ifeyẹ,tobacco
ifẹ,oracle
ifẹn,pandora box
ifẹnfẹn,hint
ifẹnfẹn,allusion
ifẹnniyẹn,dried cassava produce
ifẹrẹmu,type of fish
ifẹnrịfẹn,turmoil
ifi,eel
ifi,inedible fish
ifian,appraise
ifoto,pictures
ifoto,photographs
ifole,an island
ifoma,mistletoe
ifọghọ,foam
ifọn,rashes
ifọtẹ,faded material
ifuludu,velvet
ifun,intestine
igaganmati,howitzer
igangan,sea catfish
igan,special rope for climbing palm tree
igara,insults
igara,effrontery
igarafa,bottle
igbẹnẹgbẹnẹ,rheumatism
igẹn,spikes
igirikpa,rugged
igirikpa,stalwart
igo,savannah
igobẹ,guava fruit
igomẹ,yellow yam
igọmẹti,government
igun,thorns
igun,prickle
igunmu,slavery
igure,hamlet
igure,suburb
iguru,vultures
iiiwo,chant repetitive slogan
ijagodo,jerry can
ijagodo,tins
ije,week
ije,seven days ordinal number
ijemeji,fort night
ijẹ,fisherman
ijeguẹ,mini
ijẹ,small fry
ijẹ,baits
ijẹ,tiger
ijẹ,conclusion
ijẹ,the end
ijiga,tension
ijiga,struggle
ijighere,bicycle
ijighere-ẹ,tricycle
ijinringho,ear wax
ijilẹ,important
ijinẹ,a confessed witch
ijomugbẹ,gamble
ijojo,sympathy
ijorojoro,goddess associated with ogheye people
ijọnjẹ,oppression
ijubẹ,humour
ijubọghọ,curve
wo ma re ika eju ọkan,if you go into the world
ikali-okposo,middle age woman
ikamakodi,important dignitaries
ikana,gear for keeping fish alive
ikannakan,trophy
ikanran,track mark on cheek of saliva drool left overnight
ikara,bean cake ball
ikarasin,paraffin
ikarasin,kerosene
ikebe,buttocks
ikekeni,pneumonia
ikelu,deep part of a river
ikẹ,vegetative deposits on sea shores
ikẹ,a row of fish in a raphia stick
ikẹ,type of shirt for itsekiri men
ikẹ,individual
ikẹ,different
ikẹ,potash
ikẹ,potassium salt
ikẹ,sludge
ikẹ,sediment from processed palm oil
ikẹ,ass
ikigin,full stop
molar,molar teeth
ikinkin ẹ jidọ n mi,my molar tooth aches
ikinimi ọluwa kpin mi,iam disgusted by the rich man pride
ikimi,sacred plant
ikikinẹ,heel
ikirẹ,termite
ikirigba,rust from metal
ikiseri,fog
ikighimọ,a secluded place
ikighimọ,shelter or shade
ikoba,implication
ikobo,ailment
ikobo,sickness
ikọbiri,copper
ikojọ,rally
ikoki,hip
ikoko,cocoyam
ikole-aya,palpitation
ikole-aya,throbbing of the heart
ikolo,beetle larva
ikolo-şa,mattress
ikonuro,conference
ikoroba,bucket
ikoroghẹ,crown
ikoni-ọ,orthography
ikoşi,body built
ikoşi,stature
ikoto,patch
ikotu,coat
ikọkiba,mishap
ikọlọbi,head lock in wrestling
ikọrọ,undisclosed
ikọrọ,unknown
ikọrọ,secluded place
ikọtọ,swamp
ikọtọ,muddy
ikpenẹkun,rehearsal
ikpoyẹ,snack
ikpoyẹ,a mixture of tapioca
ikpoyẹ,cray fish and pepper special for ikperes
ikuakua,apparatus
ikuakua,paraphernalia
ikulakula,mucus
ikulete,waist coat
ikululu,flood
ikululu,erosion
ikumusi,a maid that accompany a new bride
ikun,waist
ikurusu,cannon
ila,tribal mark on the face
nikọ re şe ilaba inọ lirẹ?,what is the number of your house
ilakpalakpa,ringworm
ilakpalakpa,tinae spp
ilala,algae
ilalaja,pineapple
ilaju,facial marks
ilawuri,oars
ile,acquaintance
iledi,boy or girlfriend
ilekperi,love charm
ilele,feather
ilelejifour,wrapper
ilekete,elegant
ileme,lime
ilẹ,emptiness
ilosi,ailment
ilosi,unwell
ilosi,feverish condition
ilọli,house see inọ li
iluma,harbour
ima,thatches
imajala,flame of fire
imaşimi,machine
imẹ,table
imẹ,plantain pudding see cook book in itsekiri
imẹ,periwinkle
imẹ,hypocrisy
imẹ,charade
imẹ,front banner from fresh palm-frond
imẹ,hammer
imidaka,cassava
imiyo,corn
imiyo,maize
imo,cannon
imoju,oppression
imọ,nose
imọki,monkey
imọnọ,marriage term where drinks not well presented is taken freely
imu,grass
imughan-ayọn,comedy
imughan-odin,tragedy
imuke,acrostichum aureyn
imuke,mangrove fern
imụọnaghan,seminar
imure,graveyard
imurẹn,mosquito
imuşi,offering as in christianity
inn,yes with nod
in-in,no with shaking of the head
ina,in laws
inama,a juju associated with the bob i people
inaşi,manifesto
inẹnẹ,mother but usually grandmother
8ininijẹ,fraud
8ininijẹ,cheating
inọ,belly
inọ,stomach
inọbibi,anger
inọli,home
inọrọn,inside
inọsisan,pleasure
a ka gba inọ şişan mumẹ ,no one is happy with an empty stomach
inọtutun,calm
inọtutun,cool
inu,prawns
ẹ koro inpanama,straw hat
inparata,silver
ipasi,wrapper
ipẹ,nail
ipẹ,roofing nail
ipi,masquerade type usually fore runner to others
ipini,pin
iposi,pussy cat
iposi,ologbo
ipọni,pound sterlings
ira ee ka de oniye,time waits for no one
noun,people
irami,our people
irabọbọ,sometimes
anytime ,anytime
irakira ti o ma wẹ ,anytime you want
o ka riiran,he prophesied
iranjo,itinerant
irefun,yam
forever ,forever
ireghereghe ee gba ireghe gbẹ ,there is nothing that last forever
irẹ,sense
irẹ,human being
irẹ,everybody
irigho,skull
irigbo,a quarter in ode-itsekiri
irin,root plants
irinkin,molar
excuse ,excuse
wo ka da iro ju,you always give an excuse
irodida,excuse
irọ,abomination
irọ,composition
irọ,oral composition
irọ,written composition
irọ,cat fish
irọgbẹ,exchange
irọ,hair
irọ,beard
irọ,braid
irọ,eaves gutter
iru,native maggie prepared from locust bean
irunmu,weed
irunmu,grasses
isabaşi,passover
isabatu,shoe
isabolo,can a lily
isamagan,pan
isamagan,bowl
isan,ring
isangi,blood
isangue,peanut
isẹ,silk cloth
isẹ,beans
isẹ,cowpeas
isibe,yellow fever
isisẹ,leeches
isin-wẹ,hired labourer
iso,flat us
isoja,soldier
isongho,vengeance
isongho,revenge
isorogun,harp
stigma ,stigma
isosoki ti o soma ijẹ dẹ ,the stigma on the fisherman
isọkọ,hook up
isọşi,line hook for fishing
isun,grasses
isun,weeds
ọliisuru rejẹ ọba,the patient person rules
itaẹ gin,a road with three junctions
itaẹ,ancient stories or history
itariko,plank
itala,bark of wood used for coloring palm wine
itatasian,danger
itebetebe,water-lily
itere,a bird
itẹ,libation
a ka gba da itẹ n,s/he was mocked
iti,tea
itiẹ,calf
itighitighi,forest
ito,small like snail with shell
itọ,saliva
itọlọ,sandflies
itobele,tumbler
itolotolo,turkey
itomatosi,tomato
itoroni,contribution
itoroni,instalment
itoto,dew
itu,mushroom
iwan-na,explain
iwanran,response
iwaya,wire
iwe,leaves of all kinds
obi ọ liwẹ mẹ ẹ ta,the kola nut gives three pieces
iwe-fifẹn,the holy bible
iwe-ọra,solo no stem on spp
iwẹ,debt
iwẹ,falsehood
iwẹ,heresy
iweimọfọ,dictionary
iwẹ,tax
iwẹ,the itsekiri people
iwiki,wick for hurricane lamp or kerosene stove
iwọ,a spice
iwọ,african nutmeg
iwọdo,tenants on a land
iwọdo,strangers
iwọlọwọlọ,ripples
iwu,grey hair
iwuwu,feathers from birds
iyan,argument
iyanghanyanghan,tetraplura
iyanghanyanghan,a spice for itsekiri menu
iyankunyankun,rubbish
iyanyan,grumble
iyanyan,bemoan
iyanyan-gbọnrọngbọnrọn,altercation
iyanyin,here
iyanyin,this way
iyara,moat
iyari,the rib side of human body
iyawu,cotton wool
iyegede,abyss
iyejẹ,empathy
iyẹkun,the last of the masquerades
iyẹn,narrative
iyẹni,gradual
iyẹnrire,gospel
iyẹnrire,good news
iyẹşi,a type of dance
iyẹyẹ,demean
iyẹkpe,musical instrument from big bamboo
iyẹkpẹn,sand
iyin,concoction
iyo,an exclamation
iyọ,penis
iyo-olu,the king mother
iyo-ogunmẹ,mother drum
iyo-ogunmẹ,the biggest in a set of drums
iyọ,pledge
iyọ,pawn
iyọkọ,mother in law
iyọn,eye pur
iyọnkinyọn,unwavering
iyọnkinyọn,dogged
iyọọn mi eeju,my perseverance exceeds
iyo-oson,step mother
iyọyọ,strings
iyọyọ,drape
iyọnghọn,over there
iyọnghọn,yonder
iyọnyọn,pleasantry
iyọnyọn,fun
işan,the esan people of edo state
işa,genital infection especially caused by gonorrhea
işango,breakable jar
işanni,perfume
işegbasan,prosperous
işeghan,exhibition
işele,shilling as in british currency
işeleko,coincidence
işenọ,thrift less
işẹkiri,i were people
işẹ,blessings
işẹbale,beginning
işẹfa,key
işẹfọ,poetry
işẹfọ-kpe,oral poetry
işẹfọ-ya,written poetry
işẹkẹşẹkẹ,monetary affairs
işẹkoto,bonus
işẹkoto,bonanza
işẹkọ,lyric
işẹkọ-utẹbi,lullaby
işẹmẹji,a cloth measuring four by four yards
işaka,maraca
işẹkpa,jatropher
işẹkpa,plant
işighẹyẹn,palm nut fibres
işimì,singlet
işimì,vest
işipi,chief
işopẹ,fire brand
işọkọ,aerial roots of white mangrove
işu,yam
işukunẹ,ship
işunu,measurement standard
işuşu,faeces
işukpẹnrẹn,pen
ighan,these things
ighalaba,crooked
ighalagholo,scrap
igharaghara,thorn
igharaghara,thrash
ighanranma,sudden twist
ighanrighan,a bell like object that rattles
ighele,an elderly person both male and female
ighere,pepper spp black pepper and medicinal
ighereje,briton
igherejẹ,justicia spp spice for cooking
ighologholo,small bells
ighoro,pimples
ighoroata,a single seed of alligator pepper
ighọnrịn,riffraff
ighọnrịn,rubbish
ighọnrịn,worthless
ighọn,small insects
ighọn,fruit flies
ighọnmi,transfer of aggression
ighuruku,belligerent
ikpa,shrimps
ikpade,camp
ikpakpa,gun
ikpalema,preparation
ikpankpan,machine gun
ikpanrikpan,efiriocimum viride
ikparama,slowly
ikpangban,metal drums
ikpata,romance
ikpaya,hard wood
ikpaya,core part of red mangrove
ikpejẹ,family gathering for a meal
ikpemo,to wine together
an,an invited guest to a table
ikpẹnọjẹje gue ewọ meji,the invited guest washed both hands
ikpekpe,outboard engine
ikpenẹkun,rehearsal
ikpẹrikpe,undertone
ikpikpa,mashed yam puddy with palm oil for sacrificial purpose
ikpogho-omi,bubble
ikpọghọ,spew
ikpọghọ,disgorge
ikpogiri,melon
ikpọtọ,soft material used as a sealant
ikpurukpuru,cassava bulb
igba,seeds from mangrove tree
igbafilọ,parinari spp type of the spice
igbadudun,red mangrove tree
igbagba,pepper soup see cook book in itsekiri
igbanigbabẹ,very tiny type of snake not usually noticeable
igbanjo,auction
igbarigho,skull
igbari-origho,crown of the head
igbasa,wattle
igbawa-gbare,toss
igbe,beat
igbele,evil forest
igbele,graveyard
igbelele,marble
igbelegbele,trumpet or horn
igberе,prostitution
igberе-origho,malignancy of the head
igberaga,pompous
igberaga,pride
igbesọ,shells or light bombs
igbẹgin,bahama grass
igbẹn,mangrove oyster
igbẹn,barnacle
igbẹn,limpet
igbẹdi,crate specially for importing drinks of old
igbẹnẹ,misunderstanding
igbẹnẹ,squabble
igbẹni,storey building
igbimọ,dignitary
igbudugbudu,human thigh
mo wi nọ ja eji,i collecting rain water
aghan ma ja,do not fight
ja gbẹ,tear it up
verb,to steam up with local medicine for treating some ailments
jabara,squeeze
ọmẹ we jaga mi ju,this child troubles me a lot
jagajaga,shake
jaghajagha,minute
jaghajagha,tiny
jakan,harsh
o ka jama,he pounced on him
janijani,tattered
jatoli,safety
jare,please
jarun,babble
jaşi,trickle
ẹsẹn ro winọ jebere,the legs were shaking
o ka jekpe şi ẹgẹrifo mi,he remained at my gate
jere,benefit
jere,profit
jelele,lonely
mo biẹ we jẹ,i begged but you did not agree
wa da jẹ ọjẹ,let eat
o jẹẹ ọwa,he looks like the father
jẹbi,guilty
jẹbo,secretive
jẹdoya,fast
jẹmişi,give up the ghost
odo we jẹn,the river is deep
jẹre,free
jẹre,acquitted
jẹrun,eat food
jẹşi,end speech
ji,bestow
jiga ẹye ee ja ma ọkan,one can not say because of ups and downs of life
jigaljiga,move violently
jikijiki,idiot
jighijighi,confusion
jighiri,hefty
ọkuonkuọn ku o kpe jinghinrin-igbẹn,though dying ọkuọnkuọn is still gnawing
jijẹ,agree
jiji,haggard
jikijiki,insignificant person
jikọ,hefty
orusun we jina rẹn,the yam is well done
jinrin,endure
jinrin,persevere
jinghinrin,shake
jisọs,jesus
jisẹnji,revive
edenma we ka jiyan ju,the man argues a lot
jigbẹn,mumble
mo fẹ jo oko mi,i want to burn my farm
jọ,right
jọ,apt
ebirẹn ka jogun ju,women are too envious
joko,squat
jomgbẹn,gamble
joşẹri,testify
joya,haste
jọba,reign
jọfun,stutter
jọfun,stammer
mofẹ jọlọ aghan ni ara,i want to settle both of them
jọlọ ẹja we dia gba se ọjẹ,prepare the fish for cooking
jọnara,compatible
jọnghọn,bend
jọnghọnri,dismay
jọnjẹ,oppress
jọnjẹ,subdue 
jọlọjọlọ,loose
jọlọjọlọ,flaccid
ju,blow
ekeregbe we juan ju,this goat is too rascally
jubẹ,humorous
jubẹ,jovial
jubujubu,dull
jubujubu,dim
jungbẹ,confiscate
juya,suffer
juşi,left alone
me wa şe juwẹrẹ,i will not do it again
mofẹ ka imagoro,i want to pluck the mango
ole rẹn ka irẹye gidjẹ,the thief confessed many other people
a fẹ ka irẹye tio wi aja,there is a plan to count the number of people in the town
wo ka aşọghan rẹn?,have you removed the clothes
mo ro gin o nẹ urun ti o kabo wun eju,i think he has veil on his face
kaada,a response when one appellation or apuja is called
kaka,bong a fish
kakadan,a bird
mo fẹ kalẹ niubowe,i want to stay here
kan ẹkokoro,knock ones head
ọkua kan gbẹ umale,the lead drummer drummed for the masquerade
kani,remain
kani,stay
kanara,harsh
kanara,inconsiderate
kangbẹ,hold
kangbẹ,own
karaba,restless
karabakaraba,restlessness
katapot,catapult
karaki,clerk
mo wa kari ọrukọ ghan dede,i will list the names of all
urun ẹwọ mi kawọ,my personal possessions
quarrel,quarrel
ẹbirẹn meji wi nọ ke,two women quarrelling
kefele,undersized
overcrowded ,overcrowded
de mi ni inọlikẹkẹ mo gba wa,wait for me in the house until i return
mu uwanguẹ kekere ni ojẹ we,add small quantity of salt into the soup
ee nẹ ọnẹ ti o nemi kele omi,there is no one that can block the water
kelekele,meander
ọfọ kelegue a ka fọ gbẹ ọma,it is a brief word that is usually spoken to a child
kere,small
kerefele,undersized
flame ,flame
una we kẹ ju,the flame is too much
kẹbẹkẹbẹ,sway
kẹkẹjẹ,dwarf
kẹkun,knock
kẹkọ,confess
kẹnẹ-ara,to be cautious
kẹnkẹn-ẹju,askance
kẹnkẹn-ẹju,doubtful
kẹnkẹnrẹn eyi owun a gba kẹnmọ gbẹ ọma,aside this we use in cautioning our children
egbele mi kẹnkẹnrẹn,my hen clucks
ẹsete sisẹngua we ka kẹnkẹnrẹn,this beautiful plate has a crack
kẹnẹkẹnẹ,care
kẹnẹkẹnẹ,careful
individual ,individual
kẹnẹkun eghoro ro,individual to his own compound
kẹnmo,admonish
kẹnmo,warn
kẹnmo,caution
kẹnikẹn,but
kẹnrẹn,minimize
kẹrẹ-kẹrẹ,slow and steady
mo riẹmẹbirẹn kẹrẹbẹ rẹn ni ọla,i saw the medium sized lady yesterday
kẹnrẹnfo,
kẹnrẹnfo,as well
kẹsẹnkẹsẹn,coincidental
kesin,chant
ẹgbẹnren kẹtẹ,the wound is expanding
kẹnyinkẹnyin,firm
kẹnyinkẹnyin,solid
mo kin ẹ re,i greet you
mo kin ọkpa ekutele ni ,i have set the rat trap
oritsẹ kin uya gbẹ mi,god has offered a solution to my suffering
ọma we kin gidigbo,the child is too stunted
kịghi,protect
kịghi,fence
kịghi,shield
kikọn owun ogbe ka kọn,there is always fullness in ogbe
kikọn ọbọn,sound of the market
kin-ikale,bragging
kirimẹ,firmness
kirikişọ,erect
kitikiti,more so
kiokio,transparent
kioororo,watery
gba fifẹn we kinmẹrẹn,take the white instead
kin-agba,partial eclipse
ko,pack
ko-arakpara,mingle
kobo-kobo,dither
kokodiẹ,coconut
kokoro,scrape
arin wen jẹ kokoroko,he was rigid
kolokolo,fish
koloşa,mattress
kolu,co-operate
koma,associate
koma,put together
koomolo,narrow
koomolo,tap per
koroba,bucket
koroba,galvanized
korun,vigil
koto,patch
kotikoti,rugged
kokoti-kokoti,rugged
kokoti-kokoti,undulate
koşi,vomiting
kọ,crow
kọ,boast
kọọn,shout
kọọn-yinghẹnyinghẹn,great shout of multitude
kojẹ-komọ,merriment
kojẹ-komọ,enjoyment
kọkọfi,confiscate
kọkọ,reject
kọkọ,detest
kọkọ,refuse
kọkọşi,abandon
kọlọbi,bad feeling
kọmukọ şe  ka şe tie,he who goes first succeeds less
kọnyẹerere,tumultuous
kpiisi,encompass
kpeghere,only
kpeghere,şogholo
kpẹlu,black
ekeregbe we ku,the goat is dead
mofẹ kua kurı inọli we,i want to move from this house
ẹgualẹ tio kuan uwọ,the snake that harms you
ẹwu rẹn ka biri o jọ kuẹ,the shirt is her exact size
kuẹkuẹ,exact
kuẹkuẹ,superlative of kuẹ
kuẹşẹ,oblation where a married woman removes the kola nut and drinks from the ẹsete ọlọgọ
kufu,foolishness
wo fẹ bemi kukan origho,do you want to compete with me
kula-kula,slime
kulete,waist coat
kumẹrẹn,instead
me ma bate kun ẹran,ido not know how to slaughter animals
kuri-owo,obsolete
kuri,leave a place for another
kurieko,dislocate
kuri-ubodubo,peripatic
kuri-ubodubo,move from place to place
kuro,after
kurodẹ,apart from
kuroke,in addition
kuroke,secondly
kuoro,stand up
kuomamu,solitude
ẹṣete kurubu,small round plate
kurububu,oval
mo la omiọjẹ rẹn tan,i licked the whole soup
ẹdema rẹn la rẹn,the young man is grown up
ẹdema rẹn larẹn,the gentleman is now wealthy
una ka laa wun ara,the fire burnt his body
ma lala eju sin mi,do not open your eyes widely at me
lakpalakpa,ringworm
lakpalakpa,tinea spp
latan,lofty
le egbele we,chase chicken away
lee,pursue
leju,expect
leju,anticipate
ma lele mi o,do not follow me
verb,analyse
leleji,type of wrapper
lelemubuarun,cassio al at a
ọfọ rẹ lesin,stop your word
lelegbele,feather
legheleghe,elegant
lẹfun,eject
lẹfun,let out
lẹghẹ,deceive
lẹjẹlẹjẹ,weary
lẹjẹlẹjẹ,wither
lẹjẹlẹjẹ,fatigue
aşọ we lẹkẹ rẹn,the cloth is filthy
ọsa lila,ancient father grandfather
lira-lira,frequently
lo,use
lologi,slim
loma,cling
smooth ,smooth
smooth ,glossy
bẹẹ lokpolokpo,smooth slippery
lọ,grind
wa lọlimi ara,come and massage my body
mo fẹ luogunmẹ,i want to beat drum
luu,puncture
ludẹ,thorough fare
ludẹ,return
ludẹ,turn back
luma,tie up
luma,dock
lukulu,coccidiosis
lukulu,fowl disease
lukpa,eliminate
maa,mould
maati-mati,sticky
male,buildup
male,accretion
maaju,dawn
o ka şe mama ju,he is too timid
mana,sudden disappearance
nikọ re lẹghẹ uwọ gba şe manamana?,why are you restless
manumanu,cringe
ẹnẹ mara kpẹ rẹn,we ve known for a long period
maaru,five number
matata,potato
mawọ,sour
mawọ,pungent
maşe-maşe,eventually
makpamekun,ageratum caryzoides
mawun-ara,accustom
meefe,arrogant
meeje,seven
meeji,two
meju-kenju,face to face
meju-kenju,eyeball to eyeball
meeji,eighteen
meto-megha,count me out
mẹẹ,bleat
mẹẹ,moan
mẹ,cut
mẹẹgua,ten
mẹẹnẹ,one
mẹẹren,four
mẹmẹ,trimming
mẹmẹrẹn,act of trimming
mẹlẹmẹlẹ,mouth watering
mẹlisẹ,hypocrisy
mẹsan,nine
mẹyemẹye,faint
mẹyemẹye,obscure
mẹyingbẹ,abet
mẹyingbẹ,encourage
ee sinemi mi juwẹrẹ,he can not breath any more
mi-ekpe,torrents of abuse
mimi rẹ ba mi ẹẹru,your breathing pattern scares me
ẹja mimi,fresh fish
mighọn-mighọn,frail
egin we ee mighin ,the wood does not shake
mian,flash
miakun-ni,weep
miakun-ni,wail
mirẹn,others
isun mişọn-mişọn,luscious
uwan ti mo bofọ  ee rentin o kpe miti arun,he continued to grimace and ignored all my talking
moro,think
chink ,small narrow opening
şe arun molo,open mouth narrowly
aa jẹ ni ẹyin moyo,you do not eat beyond satisfaction
mọ,drink
mọọrọn,amorphous
mọmọ,suck
mu,sharp
muu,submerge
prepare,prepare
ẹnẹ muara gbẹ uja kẹnrẹn,we are prepared for the war as well
muarani,mourn
muarungun-arun,gossip
muẹko,affirm
muji,forgive
mumují,the act of forgiveness
mule,conspicuous
me nẹmi gba inọ-şişan mumẹ gbẹ ogie,i can not pay homage to the king with an empty stomach
muoloke,ina wedding
muoloke,proclaiming the bridegroom
muma,place near
mumu-abitọn,the act of confirming the bride in a wedding ceremony
muetinta,deaf ears
ọlọrọn wẹ ka şe murẹn-murẹn,the moon appears faintly
muse,abortive
musọnọ,throw away
muşi,vomit 
mugbẹ,abduct
me riogho na,i have no money to spend
mo na uwọ ogho wo ma bọghọ udangho rẹ,i promised you money if you pass your exams
mo biẹ biriemi na orusun we,please help haggle the price of the yam
demi ka na ni ọwurọwuro,i always stretch in the mornings
nami,promise me
nana-ara,rest
nana-ara,siesta
nana,stretch it
naşi,make a promise
able ,able
mo nemi şee,i can do it
ne-sin,who is it
nẹ,share
nẹ,divide
nikọ rẹ nẹẹ eke?,what the cause of the quarrel
